Company,Latitude,Longitude,"Address, City, State & Zip",Salesman Assigned,Product Name,Cases 10/20/2020,Cases 10/21/2020,Cases 10/22/2020,Cases 10/23/2020
Dorr's Liquor Mart,42.3489336,-71.153118,"354 Washington Street, Brighton, MA 02135",Tyler Corey,FAB Mosaic Marvel IPA 6/4/16,1,0,0,0
"Dick's World of Wines (RLPD Wines, LLC)",41.3731111,-71.8312371,"137 Main St, Westerly, RI 02891",Rich Koeppen,FAB Cosmic Plankton Fruited Sour 6/4/16,0,1,0,0
Dave's Fresh Pasta,42.3987898,-71.1241435,"81 Holland St., Somerville, MA 02144",Tyler Corey,FAB Squid 3D NEIPA 6/4/16,0,0,5,0
Damon's Beverage Bangor,44.7990347,-68.7675544,"21 Washington St., Bangor, ME 04401",Bailey Lyon,FAB Cosmic Plankton Fruited Sour 6/4/16,0,0,1,0
Damon's Beverage Bangor,44.7990347,-68.7675544,"21 Washington St., Bangor, ME 04401",Bailey Lyon,FAB CHAOS 3xNEIPA SHOG 6/4/16,0,0,1,0
Damon's Beverage Bangor,44.7990347,-68.7675544,"21 Washington St., Bangor, ME 04401",Bailey Lyon,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,0,1,0
Damon's Beverage Bangor,44.7990347,-68.7675544,"21 Washington St., Bangor, ME 04401",Bailey Lyon,FAB 200 Fruited IPA 6/4/16,0,0,1,0
Coolidge Liquor,42.3711511,-71.1584414,"608 Mt Auburn St, Watertown, MA 02472",Tom Briggs,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,1,0,0
Central Public House,42.2285476,-71.5213483,"42 Main st, Hopkinton, MA 01748",Aline Fleuette,FAB Mosaic Marvel IPA 6/4/16,0,1,0,0
Buscemi's Convenience,42.4032171,-71.5512171,"275 Cox Street, Hudson, MA 01749",Aline Fleuette,FAB Pilsner 4 Peace Pilsner 6/4/16,0,0,2,0
Brewster Wine & Spirits,41.7676593,-70.0590881,"2655 Main Street, Brewster, MA 02631",Eddie Letsche,FAB CHAOS 3xNEIPA SHOG 6/4/16,0,0,1,0
Boulevard Wine and Liquors,42.0080733,-71.303742,"584 Kelley Blvd, North Attleboro, MA 02760",Aline Fleuette,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
Beacon Hill Wine & Spirits,42.3579817,-71.0702397,"63 Charles St, Boston, MA 02114",Matt Kemon,FAB Squid 3D NEIPA 6/4/16,0,1,0,0
Beacon Hill Wine & Spirits,42.3579817,-71.0702397,"63 Charles St, Boston, MA 02114",Matt Kemon,FAB Cosmic Plankton Fruited Sour 6/4/16,0,1,0,0
Barra,42.3814171,-71.0973308,"23A Bow St, Somerville, MA 02143",Tyler Corey,FAB CHAOS 3xNEIPA SHOG 6/4/16,1,0,0,0
Andrade's Liquors,42.1386118,-71.1024662,"280 Washington st, Stoughton, MA 02072",Tom Briggs,FAB Squid 3D NEIPA 6/4/16,0,0,1,0
Alaina's Alehouse (Clover Hospitality LLC),41.4968547,-71.6366032,"343 KINGSTOWN RD, Richmond, RI 02892-1160",Rich Koeppen,FAB Cosmic Plankton Fruited Sour 6/4/16,0,1,0,0
